,x,matches,degree
0,0.0,315654162,314.95024819528356
1,0.10007632940378255,338884948,338.46795547885006
2,0.2001526588075651,370327710,370.2429243703192
3,0.30022898821134764,400217212,400.5272200683329
4,0.4003053176151302,429267266,430.0314318544053
5,0.5004814240173213,475939678,477.2669574085532
6,0.6005577534211038,521451732,523.4324002023658
7,0.7006340828248864,562093480,564.7971640241838
8,0.8007104122286689,600352848,603.8491344886895
9,0.90088651863086,651319488,655.7748221416302
10,1.0009628480346426,695912532,701.3812012259588
11,1.1010391774384252,740128822,746.6997800645682
12,1.2011155068422077,790248244,798.0717412797655
13,1.3012916132443988,827767130,836.8105415222308
14,1.4013679426481813,880082160,890.6001477448668
15,1.5014442720519638,929256224,941.3173228577767
16,1.6015206014557464,970265786,983.8587788891323
17,1.7016967078579377,1024160246,1039.566623358168
18,1.80177303726172,1064787150,1081.9061510277115
19,1.9018493666655027,1114736126,1133.8136748937625
20,2.0019256960692853,1180949910,1202.3872726846955
21,2.102002025473068,1233157880,1256.8264354320565
22,2.2021781318752587,1284512308,1310.5075354736555
23,2.3022544612790417,1328493340,1356.7670076728955
24,2.4023307906828237,1376496048,1407.2328274164297
25,2.5024071200866067,1425226252,1458.5467525622855
26,2.6025832264887976,1470304996,1506.227003813959
27,2.70265955589258,1533931326,1573.02412146669
28,2.8027358852963626,1568827426,1610.466025078402
29,2.902812214700145,1609471132,1653.8913457645442
30,3.002988321102336,1654995182,1702.4282375547505
31,3.103064650506119,1697396896,1747.848544229175
32,3.203140979909901,1739095988,1792.6385151711313
33,3.3032173093136836,1786842428,1843.7611793682781
34,3.4033934157158754,1831391324,1891.688907940607
35,3.5034697451196575,1874275186,1937.9925035310953
36,3.60354607452344,1910736954,1977.7449299723946
37,3.7036224039272225,1953742184,2024.3599567305898
38,3.803798510329414,1997101186,2071.4410628640658
39,3.9038748397331964,2039134822,2117.241996492609
40,4.003951169136979,2085247544,2167.3781724674827
41,4.104027498540761,2124921904,2210.920061637514
42,4.204103827944544,2158671912,2248.3823685032808
43,4.304279934346735,2191177910,2284.628347944314
44,4.404356263750517,2225212672,2322.54350256186
45,4.5044325931542994,2255529264,2356.6532551797636
46,4.604508922558083,2289954570,2395.13200158563
47,4.704685028960274,2322980274,2432.2286900719623
48,4.804761358364056,2357823410,2471.3057710045277
49,4.904837687767839,2392927722,2510.739134403621
50,5.004914017171622,2432871778,2555.338952644437
51,5.105090123573812,2477064508,2604.502831547625
52,5.205166452977595,2508789960,2640.6453018576585
53,5.305242782381377,2547321072,2684.035082987027
54,5.40531911178516,2587499108,2729.253822275149
55,5.5054952181873515,2619304522,2765.7305969968015
56,5.605571547591134,2651928948,2803.147545488947
57,5.705647876994916,2686006116,2842.181126732843
58,5.805724206398699,2722607448,2883.971416707625
59,5.905800535802482,2756205610,2922.6660551723407
60,6.005976642204672,2792848304,2964.6780808903222
61,6.106052971608455,2828932812,3006.1833974823544
62,6.206129301012238,2856753072,3038.9858590371637
63,6.30620563041602,2885815444,3073.1811525059848
64,6.406381736818211,2918976486,3111.822340058079
65,6.506458066221994,2957059086,3155.795294682639
66,6.6065343956257765,2992040828,3196.5496836612815
67,6.706610725029559,3023970716,3234.12755890522
68,6.806786831431751,3058640452,3274.7230526276344
69,6.906863160835533,3088177032,3309.900657226274
70,7.006939490239315,3123318564,3351.167814903075
71,7.107015819643098,3153855304,3387.577850196454
72,7.207191926045289,3206137844,3447.4526334351967
73,7.307268255449071,3240830006,3488.5182933458486
74,7.407344584852854,3269568066,3523.2566368820553
75,7.507420914256636,3297560898,3557.2662339413564
76,7.607597020658828,3326511200,3592.387382571499
77,7.707673350062611,3354594866,3626.6439340703537
78,7.807749679466393,3391517930,3670.5414818237996
79,7.907826008870175,3410731366,3695.3469912674163
